Reference,Project name,"Country
(ISO-3)",Date online,Decomission date,Status,Technology,,,,Product,End use,,,,,,,,,,,,,,Announced Size,Normalised capacity,,,,"IEA zero-carbon estimated normalised capacity
[Nm³ H₂/hour]",Refs,"Geographical details
Decimal Degrees
(Lat. N is positive, Long. E is positive)",,,,,,,
2222,"Chubu Electric Power - Chiyoda - Hazer, phase 2",JPN,,,Concept,Other,Methane pyrolysis,,,H2,,,,,1,1,1,,,,,,,,50-100 kt H2/y,,96198,75,,96198,[1910],Chubu region,35.36631876,136.8597274,,,,,
2223,Adams Fork Energy (WV),USA,2028,,Concept,NG w CCUS,ATR+CCUS,N/A,N/A,Ammonia,,,,,,,,,,,,,,,6kt NH3/d - 3.6 Mt CO2/y,,505820,394,3600000,451355,[1911],Mingo county,37.75667506,-82.16707451,,,,,
2224,Horizonte de Verano - Summer Horizon - phase 1,PER,2027,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,Ammonia,,1,,,,,,,,,,,,,"0.42 Mt NH3/y , production",873.1,194013,151,,194013,[1912] [2565],"Arequipa, Peru",-16.40915315,-71.53472117,,,,,
2225,Pampas,ARG,2030,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,1,1,,1,,,,,,,,,,35 kt H2/y (production),505.0,112231,88,,112231,[1913],Patagonia Argentina,-51.03225029,-69.45687674,,,,,
2226,Bear Head Energy - Nova Scotia project Phase 1a,CAN,2030,,Feasibility study,Other Electrolysis,Unknown PtX,Grid+Renewables,Onshore wind,Ammonia,,1,,,,,,,,,,,,,2 Mt NH3/y (Production),2969.6,659909,514,,659909,[1914],Point Tupper port,45.583347,-61.339879,,,,,
2227,"Hive H2 Albamed, phase 1",ESP,2027,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,,,,,,,,,,800MW,800,177778,138.6,,177778,[1915],Albacete,38.99923679,-1.855439558,,,,,
2228,"Hive H2 Albamed, phase 2",ESP,2030,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,,,,,,,,,,800MW,800,177778,138.6,,177778,[1915],Albacete,38.99923679,-1.855439558,,,,,
2231,Dominica Geothermal Development Company - Kenesjay green hydrogen plant,DMA,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,,,,,,,,,,27-30 Kt H2/y (production),164.5,36555,29,,36555,[1918],Portsmouth,15.56358521,-61.45555308,,,,,
2232,ErasmoPower2X,ESP,2029,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,1,,,,,,,,,,325MW,325,72222,56.3,,72222,[1919] ,Puertollano ,38.71631082,-4.157954146,,,,,
2233,Electrolysis Corridor East Germany (H2 Corridor) Phase I - Pasewalk,DEU,2029,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,,,,,,,,,,60MW,60,13333,10.4,,13333,[1920][3324],Pasewalk,53.49733973,14.03092459,,,,,
2234,Green Pegasus,CHL,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,Ammonia,,1,,,,,,,,,,,,, 459000 t NH3/y production,1590.2,353381,276,,353381,[1921],Chile ,-26.74999878,-70.55456089,,,,,
2235,H2Montoir,FRA,,,Concept,Other,Methane pyrolysis,,,H2,,,,,,,,,,,,,,,2500 t H2/yr production,,3563,3,,3563,[1922],"LNG import and regasification terminal (Montoir-de-Bretagne, Loire-Atlantique, Pays de la Loire, France)",47.21691069,-1.552802297,,,,,
2236,JSW Steel ,IND,2025,,FID/Construction,ALK,,Dedicated renewable,Unknown,H2,,,,1,,,,,,,,,,,25MW,25,5435,4.2,,5435,[1924][1973],Vijayanagar,12.97596384,77.53480216,,,,,
2237,Idemitsu Refinery - H2 from municipal waste,JPN,2030,,Concept,Biomass w CCUS,Waste gasification,,,H2,1,,,,,,,,,,,,,,15 t H2/d production,,7803,6,,7803,[1924],"Chita, Japan",34.97913185,136.8450878,,,,,
2238,Argentia Renewables Project ,CAN,,,Feasibility study,ALK,Unknown PtX,Grid+Renewables,Onshore wind,Ammonia,,1,,,,,,,,,,,,,1.3GW,1300,282609,220.3,,282609,[1925],Port of Argentia,47.2937646,-53.97420614,,,,,
2239,Solatio - Ammonia project state of Piaui (phase I),BRA,2028,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,Ammonia,,1,,,1,,,,,,,,,,1.9GW or 283 kton H2 1.6MtNH3/y production,1633.4,362988,283,,362988,[1926] [2638],Piaui state,-7.682173767,-42.52223697,,,,,
2240,Solatio - Ammonia project Parnaiba export zone (phases II to VI),BRA,2028,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,Ammonia,,1,,,1,,,,,,,,,,9.5GW or 1.42 Mton H2 8MtNH3/y production,8178.8,1817506,1417,,1817506,[1926] [2638],Piaui state,-7.682173767,-42.52223697,,,,,
2241,Koping - Waste-to-Hydrogen,SWE,,,Feasibility study,Biomass w CCUS,Waste gasification,,,H2,,,,,,,,,,,,,,,12 kt H2/y production,,17102,13,,17102,[1927],Koping,59.51242929,15.9947879,,,,,
2243,H2 production for a H2 Fuell station ,NLD,2026,,FID/Construction,AEM,,Other/Unknown,Unknown,H2,,,,,,1,,,,,,,,,1MW,1,210,0.2,,210,[1929],Oude Tonge,51.6918438,4.209522035,,,,,
2246,"Repsol Tarragona, phase 1",ESP,2027,,Feasibility study,ALK,,Grid,,H2,1,,,,,,,1,,,,,,,150MW,150,32609,25.4,,32609,[1932],Tarragona refinery,41.18567481,1.217432737,,,,,
2248,Breogan project,ESP,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,Synfuels,,,,,,,,,,,,1,,,10 kt H2/y (production),115.4,25653,20,,25653,[1934],Curtis-Teixeiro biomass plant,43.15776379,-8.009321525,,,,,
2250,BalticSeaH2,EST,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,,,,,,,,,,,,,,,100 kt H2/y (production),1049.4,233208,182,,233208,[1936],Random location between Finland and Estonia,59.90293472,24.50958134,,,,,
2252,Calix green steel plant,AUS,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,1,,,,,,,,,,,30 kt DRI,10.4,2309,2,,2309,[1938],Random location in Australia,-37.91367515,145.44817,,,,,
2253,HYRO  3 Northfleet- Kimberly-Clark project (2 pamts),GBR,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,1,,,,,,,,,,17 MW,17,3778,2.9,,3778,[1939],Northfleet,51.43116707,0.328778155,,,,,
2254,Ver-Amonia,ESP,2034,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,Ammonia,,1,,,,,,,,,,,,,25MW,25.0,5556,4.3,,5556,[1940][2973],Teruel,40.34124803,-1.121735874,,,,,
2255,Green Port Langosteira,ESP,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,Ammonia,,1,,,,,,,,,,,,,150 kt NH3/y (Production),311.8,69290,54,,69290,[1941],Langosteira ,43.36055363,-8.490023719,,,,,
2256,Raven Iberia Zaragoza waste-to-hydrogen plant,ESP,2026,,Feasibility study,Biomass,Waste gasification,,,H2,,,,,,,,,,,,,,,1.6 kt H2/y,,2280,2,,2280,[1942],Zaragoza,41.6523967,-0.903048984,,,,,
2257,Invenergy Port of Grays Harbor,USA,2026,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,,,,,,,,,,45t H2/d,189.6,42135,33,,42135,[1943],Port of Grays Harbour,46.95527722,-123.8419154,,,,,
2258,Lhyfe - Schaeffler Group plant in Herzogenaurach,DEU,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,1,,,,,,,,,,15MW,15,3333,2.6,,3333,[1944],Herzogenaurach,49.57288585,10.87616739,,,,,
2259,Sungas first green methanol facility,USA,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,MeOH,,,1,,,,,,,,,,,,390kt MeOH/y,430.7,95708,75,,95708,[1945],Random location in the US,34.79064815,-82.85517149,,,,,
2260,Barataria - pHYnix,ESP,2027,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,,,,,,,,,,70MW,70,15556,12.1,,15556,[1946],Alcázar de San Juan,39.4178381,-3.217615488,,,,,
2261,RDSF - Metacon MoU,POL,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,,,,,,,,,,5MW,5,1111,0.9,,1111,[1947],Katowice,50.25528763,19.03500184,,,,,
2262,Bradford Low Carbon Hydrogen,GBR,2027,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1,,,,,,,,,24.5 MW,24.5,5444,4.2,,5444,[1948],Bradford,53.79811194,-1.79487248,,,,,
2265,H2 Production Plant at High Marnham,GBR,2028,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,,,,,,,,,,,0,,,,0,[1948],Marnham,53.22633061,-0.804093436,,,,,
2266,HyBont,GBR,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,,,,,,,,,,5.2MW,5.2,1156,0.9,,1156,[1948],Brynmenyn,51.55388808,-3.573378084,,,,,
2267,Quill 2,GBR,2030,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,,,1,,,,,,,8 MW,8,1778,1.4,,1778,[1948],Random location in NW England,54.04276948,-2.666329481,,,,,
2268,West South Wales Hydrogen Project,GBR,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,1,1,1,,,,,,,,20MW,20,4444,3.5,,4444,[1948] [2175],Milford Haven,51.71382107,-5.035033159,,,,,
2269,Suntory Hakushu Distillery and Suntory Minami Alps Hakushu Water Plant,JPN,2025,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,1,,,,,,,,,,16MW,16,3556,2.8,,3556,[1950][3041],Yamanashi ,35.58178688,138.6297522,,,,,
2270,Biomass-to-Hydrogen project,KOR,,,Concept,Biomass,BrightLoop technology,,,H2,,,,,,,,,,,,,,,,,,,,0,[1951],,,,,,,,
2271,Jorf Hydrogen Platform JH2P,MAR,2027,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,Ammonia,,1,,,,,,,,,,,,,100kt NH3/y production - 150MW,120.0,26667,20.8,,26667,[1952][2928][2929],Jorf-El Jadida,33.12823468,-8.616028586,,,,,
2272,Methanol Plant - Puglia,ITA,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,MeOH,,,,,,,,,,,,,,,,0,,,,0,[1953],Random palce in Puglia,41.17992074,16.65610808,,,,,
2273,Hydrogen Utopia waste-to-plastic plant,EST,,,Concept,Biomass,Waste gasification,,,H2,,,,,,,,,,,,,,,,,,,,0,[1954],Random place in Estonia,58.69492282,25.55703946,,,,,
2274,Hydrogen from Biomass,FRA,,,Concept,Biomass,Biomass gasification,,,H2,,,,,,1,,,,,,,,,225 t H2/y production,,289,0.225,,289,[1955],"Villabé, Essone, Île-de-France, France",48.5895522,2.45483707,,,,,
2275,Hydrogen Micro Hub,KOR,2026,,Concept,SOEC,,Nuclear,,H2,,,,,,,,,,,,,,,,0,,,,0,[1956],Seoul,37.55822945,127.0084579,,,,,
2276,Navarra hydrogen project,ESP,,,DEMO,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,,,,,,,,,,,400kW,0.4,89,0.1,,89,[1957],Random place in Navarra,42.93836559,-1.712221415,,,,,
2277,Indaver,IRL,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,Unknown,H2,,,,,1,1,,,,,,,,,10MW,10,2222,1.7,,2222,[1958],Indaver Waste-to-Energy plant,53.82452481,-6.428973937,,,,,
2278,Bord Na Mona & BOC hydrogen project,IRL,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,,,,,,,,,,,2MW,2,444,0.3,,444,[1959],Mount Lucas,53.29660897,-7.220961043,,,,,
2279,Mercury Renewables H2 Project,IRL,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,,1,,,,,,,,,80MW,80,17778,13.9,,17778,[1960],Mayo,53.99576724,-9.520152559,,,,,
2280,Green Atlantic at Moneypoint project,IRL,2030,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,,,,,,,,,,,,,,,,0,,,,0,[1961],Moneypoint,52.6791166,-9.064256076,,,,,
2281,EI-H2 project,IRL,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,,,,,,,,,,50MW,50,11111,8.7,,11111,[1962],Aghada,51.83771851,-8.205220341,,,,,
2282,Duisburg Harbor,DEU,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,,,,,,,,,,20MW,20,4444,3.5,,4444,[1963],Duisburg Inner Harbour,51.45565446,6.768886388,,,,,
2283,Ammonia project Jordan,JOR,2030,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,Ammonia,,1,,,,,,,,,,,,,100-300k t NH3/year production,692.9,153979,120,,153979,[1964] [2296],Port of Aqaba,29.49064129,34.9882082,,,,,
2284,FertigHy second plant,ESP,,,Concept,PEM,,Dedicated renewable,Unknown,Ammonia,,1,,,,,,,,,,,,,1Mt H2/y production,13339.5,2565287,2000,,2565287,[1965][2500],Random location in Spain,38.60092388,-3.858215456,,,,,
2285,Daystar Energy - Columboola Renewable Energy Hub (CREH),AUS,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,,,,,,,,,,50MW,50,11111,8.7,,11111,[1966],Chinchilla ,-26.74635213,150.6254414,,,,,
2287,Kumbarilla Renewable Energy Park (K-REP)- phase 2,AUS,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,,,,,,,,,,80MW,80,17778,13.9,,17778,[1967],Kumbarilla,-27.26312929,150.9423063,,,,,
2288,Three Gorges Corp.'s Inner Mongolia project ,CHN,2023,,Operational,ALK,,Dedicated renewable,Solar PV,H2,,,,,1,1,,,,,,,,,10 kt H2/y production - 16x1000 Nm3/h units,73.6,16000,12,,16000,[1969] [1989],Ordos,39.62170645,109.7280467,,,,,
2289,Twelve Moses Lake SAF project,USA,2025,,FID/Construction,PEM,,Dedicated renewable,Unknown,Synfuels,,,,,,,,,,,,1,,,40000 gallons/y (production),1.1,205,0,,205,[1970],Lake Moses,47.14436189,-119.2440507,,,,,
2292,Nujio'qonik Green Hydrogen -phase 2,CAN,,,Feasibility study,PEM,,Dedicated renewable,Onshore wind,H2,,1,,,,,1,1,,,,,,,1.300GW,650,125000,97.5,,125000,[1873][1975],"Stephenville, Canada",48.52239588,-58.43472528,,,,,
2293,Shanghai Chemical Industry Park,CHN,2028,,Concept,NG w CCUS,SMR+CCUS,,,H2,,,,,1,,,,,,,,,,"70,000 Nm3/h",,70000,54.6,,0,[1977] [2239],Shanghai Chemical Industry Park,31.21968466,121.444601,,,,,
2294,Terranova Hydrogen,BEL,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,N/A,H2,,,,,,1,,,,,,,,,2.5MW,2.5,556,0.4,,556,Belgium Hydrogen Council,Zelzate,51.17218155,3.86683866,,,,,
2296,Denain - Phase I,FRA,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,,1,,,,,,,,,2.5MW,2.5,556,0.4,,556,[3092],Denain,50.319258,3.385513,,,,,
2297,Denain - Phase II,FRA,2029,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,1,,,,,,,,,,120MW,120,26667,20.8,,26667,[3092],Denain,50.319258,3.385513,,,,,
2298,CarlHYng,FRA,2028,,Feasibility study,PEM,,Grid,,H2,,,,1,,,,,,,,,,,100MW,100,19231,15.0,,19231,,"Carling, Saint-Avold",49.158542,6.707243,,,,,
2299,Alp’Hyne,FRA,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,,1,,,,,,,,,2MW,2,444,0.3,,444,,Bonneville,46.070767,6.426499,,,,,
2300,H2BYCOL,FRA,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,,1,,,,,,,,,1MW,1,222,0.2,,222,,Chilly-Mazarin,48.707409,2.296813,,,,,
2301,Angeles Link,USA,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,,,1,,,,,,,10-20GW,15000,3333333,2598.8,,3333333,[1979],Los Ángeles,34.61198743,-117.5438126,,,,,
2302,ACME SCZONE Green Ammonia Plant,EGY,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,Ammonia,,,,,,,,,,,,,,,2.2 Mt H2/y (production),25396.3,5643630,4400,,5643630,[1980],Sokhna,29.69318244,32.31661541,,,,,
2303,"Globeleq green hydrogen project, phase 1",EGY,2027,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,Ammonia,,1,,,,,,,,,,,,,100 kt NH3/y ,103.9,23097,18,,23097,[1981],Random location in  Suez Cana,30.48268159,32.41910128,,,,,
2304,"Globeleq green hydrogen project, phase 2",EGY,2034,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,Ammonia,,1,,,,,,,,,,,,,3.6GW,3500,777778,606.4,,777778,[1981],Random location in  Suez Cana,30.48268159,32.41910128,,,,,
2305,"Daures Green Hydrogen Village, phase 1",NAM,2025,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,Ammonia,,1,,,,,,,,,,,,,0.25 MW - 18 t h2/y - 100 t NH3/y capacity,0.25,56,0.043,,56,[1982] [2374],Daures,-22.48972054,16.95442707,,,,,
2306,"Daures Green Hydrogen Village, phase 2",NAM,2027,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,Ammonia,,1,,,,,,,,,,,,,5 MW - .62 kt H2/y - 35 kt NH3/y capacity,4.75,1056,0.8,,1056,[1982] [2374],Daures,-22.48972054,16.95442707,,,,,
2307,"Daures Green Hydrogen Village, phase 3",NAM,2032,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,Ammonia,,1,,,,,,,,,,,,,420 MW- 121 kt H2/y - 352 kt NH3/y capacity,415.25,92278,71.9,,92278,[1982] [2374],Daures,-22.48972054,16.95442707,,,,,
2308,"Daures Green Hydrogen Village, phase 4",NAM,2032,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,Ammonia,,1,,,,,,,,,,,,,840MW - 240 kt H2/y - 700 kt NH3/y capacity,424.75,94389,73.6,,94389,[1982] [2374],Daures,-22.48972054,16.95442707,,,,,
2309,Hynamics Dunkirk - SHYMED,FRA,2030,,Concept,ALK,,Grid,,H2,,,,,,1,,,,,,,,,1MW,1,217,0.2,,217,Data from EDF,Dunkirk,51.01717488,2.419031163,,,,,
2310,Hynamics Martres-Tolosane,FRA,2026,,Feasibility study,ALK,,Grid,,H2,,,,,,1,,,,,,,,,2MW,2,435,0.3,,435,Data from EDF,Martres-Tolosane,43.20701209,1.011473261,,,,,
2311,Vitry H2,FRA,2026,,Feasibility study,ALK,,Grid,,H2,,,,,,1,,,,,,,,,2MW,2,435,0.3,,435,Data from EDF,Vitry-sur-Seine,48.78430493,2.40247164,,,,,
2312,Hynamics LH2,FRA,2026,,Feasibility study,ALK,,Grid,,H2,,,,,,1,,,,,,,,,2MW,2,435,0.3,,435,Data from EDF,Le Havre,49.49102644,0.141837156,,,,,
2313,Hynamics VSGP,FRA,2026,,Feasibility study,ALK,,Grid,,H2,,,,,,1,,,,,,,,,2MW,2,435,0.3,,435,Data from EDF,Vallée Sud Grand Paris,48.76784953,2.306205816,,,,,
2314,Hynamics Cannes,FRA,2026,,Feasibility study,ALK,,Grid,,H2,,,,,,1,,,,,,,,,2MW,2,435,0.3,,435,Data from EDF,Cannes,43.57467663,7.00197399,,,,,
2315,Hynamics Hydom,FRA,2030,,Feasibility study,ALK,,Grid,,H2,,,,,1,,,,,,,,,,85MW,85,18478,14.4,,18478,[2006] + Data from EDF,"Saint-Fons, Rhône, Auvergne-Rhône-Alpes, France",45.7091746,4.849493498,,,,,
2316,Take Kair,FRA,2031,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,Synfuels,,,,,,,,,,,,1,,,"200MW, 50 kt e-kerosene/y capacity",200.0,44444,34.7,,44444,[1983] [2666][2742],Saint-Pierre-La-Cour,48.10970504,-1.011990366,,,,,
2317,Holyhead Hub,GBR,2026,,FID/Construction,ALK,,Dedicated renewable,Unknown,H2,,,,,,1,,,,,,,,,1 MW,1,217,0.2,,217,[1984],Holyhead,53.30707153,-4.637756467,,,,,
2318,Stanwell Power Station - Hysata DEMO,AUS,2025,,DEMO,ALK,Hysata capillary design,Other/Unknown,,H2,,,,,,,,,,,,,,,5MW,5,1087,0.8,,1087,[1985],Stanwell Power Station,-23.50840446,150.3212458,,,,,
2319,Eni Sannazzaro Waste to Methanol/H2,ITA,2029,,Feasibility study,PEM,,Grid,,H2,1,,1,,,,,,,,,,,,2000 Nm3 H2/h,10.4,2000,1.5,,2000,Data from ENI,Sannazzaro dei Burgondi,45.10078354,8.917792128,,,,,
2320,"H2H Saltend, phase 2",GBR,,,Feasibility study,NG w CCUS,ATR+CCUS,,,H2,,,,,1,,1,1,,,,,,,1200MW - 1 Mt CO2/y,,192135,149.8,1000000,125376,Data from Equinor,Salt End,53.74361892,-0.24953475,,,,,
2323,Sines Repsol - H2Alba,PRT,2026,,FID/Construction,PEM,,Grid+Renewables,Solar PV,H2,,,,,1,,,,,,,,,,4MW,4,769,0.6,6000,769,[3309],Sines Chemical complex,37.95889357,-8.860073289,,,,,
2324,"Electrolyzers with ""network related function"" in Apulia - Phase 2",ITA,2031,,Concept,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,,,,1,,,,,,,800MW,710,157778,123.0,,157778,Data from Snam,Random location in Apulia,41.06687898,16.68257759,,,,,
2325,"Electrolyzers with ""network related function"" in Sicily - Phase 1",ITA,2026,,Concept,Other Electrolysis,Unknown PtX,Grid,,CH4,,,,,,,,,,,,,1,,90MW,90,20000,15.6,,20000,Data from Snam,Random location in Sicily,37.10739984,15.0170182,,,,,
2326,"Electrolyzers with ""network related function"" in Sicily - Phase 2",ITA,2031,,Concept,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,,,,1,,,,,,,600MW,610,135556,105.7,,135556,Data from Snam,Random location in Sicily,37.10739984,15.0170182,,,,,
2327,IdrogeMO,ITA,2026,,FID/Construction,ALK,,Dedicated renewable,Solar PV,H2,,,,,,1,1,,,,,,,,2.5MW,2.5,543,0.4,,543,Data from Snam,Modena,44.64603004,10.92356237,,,,,
2328,H2@Hydro,DEU,2026,,Concept,PEM,,Dedicated renewable,Hydropower,H2,,,,,,1,1,,,,,,,,50MW,50,9615,7.5,,9615,Data from RWE [3099],Albruck,47.59574698,8.147138112,,,,,
2330,Kalisaya - stage 1,CHL,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,,,,,,,,,,1MW,1,222,0.2,,222,[1991],Random location in Biobío,-37.37730001,-73.03154511,,,,,
2331,Kalisaya - stage 2,CHL,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,,,,,,,,,,10MW,9,2000,1.6,,2000,[1991],Random location in Biobío,-37.37730001,-73.03154511,,,,,
2332,Kalisaya - stage 3,CHL,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,,,,,,,,,,100MW,90,20000,15.6,,20000,[1991],Random location in Biobío,-37.37730001,-73.03154511,,,,,
2333,Zorzal Project,CHL,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,1,,,,,,,,,,300 Kg H2/d production,1.3,281,0.22,,281,[1992],Random location in Biobío,-37.37730001,-73.03154511,,,,,
2335,H2 Genesis Project,CHL,2027,,Feasibility study,Other Electrolysis,Unknown PtX,Grid+Renewables,Unknown,H2,,,,,,,,1,,,,,,,100MW,100,22222,17.3,,22222,[1992],Random location in Antofagasta,-23.39908036,-69.25218282,,,,,
2336,San Pedro Mining Project,CHL,2024,,DEMO,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,1,,,,,,,,,,2MW,2,444,0.3,,444,[1992],Random place at Metropolitana de Santiago,-33.46676656,-70.87602555,,,,,
2339,Biomethane and hydrogen production from biomass,COL,,,Concept,Biomass w CCUS,,,,Various,,,,,1,1,,1,,,,,,,47 Nm3H2/h,,47,,,47,Colombian Hydrogen Association,"Santander, Colombia",7.061455355,-73.53580248,,,,,
2340,Green Urea production in Colombia,COL,2027,,Feasibility study,ALK,,Dedicated renewable,Solar PV,Ammonia,,1,,,,,,,,,,,,,30MW - 100 ton urea/ day,30,6522,5.1,,6522,Colombian Hydrogen Association,"Palmira, Valle del Cauca",3.599658106,-76.39860901,,,,,
2341,Prothium,COL,2025,,Operational,ALK,,Dedicated renewable,Hydropower,Ammonia,,1,,,,,,,,,,,,,"2,3 MW",2.3,500,0.4,,500,"Colombian Hydrogen Association, [2969]","Sabaneta, Antioquia",7.045224074,-75.6643555,,,,,
2342,Deuterium,COL,2030,,Feasibility study,ALK,,Dedicated renewable,Hydropower,Ammonia,,1,,,,,,,,,,,,,23 MW,23,5000,3.9,,5000,Colombian Hydrogen Association,"Antioquia, Colombia",8.42775279,-76.57622075,,,,,
2344,TW Solar Sucre,COL,2030,,Feasibility study,PEM,,Dedicated renewable,Others/Various,H2,1,1,,,1,,,,,,,,,,1000 MW,1000,192308,149.9,,192308,Colombian Hydrogen Association,"Santiago de Tolú, Sucre, Colombia",9.529207377,-75.57852665,,,,,
